Index,Rank,Previous Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,staff,Column1,Column2,Column3,Total Students,International Students,Total Faculty Staff,Domestic Staff %,Int'l Staff %
615,613,661-670,City University of New York,United States of America,Americas,XL,FC,VH,Public,25.3,505,59.4,195,14.3,801+,6.4,801+,8.4,801+,8.3,801+,6.4,801+,92.9,128,31.3,532,55.4,593=,27.8,,,,,"123,893","6,462","7,782",95%,5%
616,613,661-670,International Islamic University Malaysia (IIUM),Malaysia,Asia,L,FC,HI,Public,36.0,337,27.3,503,17.9,801+,6.2,801+,29.1,592,69.0,282,51.4,401,58.6,712,32.3,523,32.0,801+,27.8,,,,,"26,266","6,159","1,904",87%,13%
617,613,631-640,Universidad de Concepción,Chile,Americas,L,FC,HI,Private not for Profit,36.8,325,34.0,422,20.2,801+,12.3,801+,14.5,801+,2.6,801+,6.9,801+,64.1,634,16.9,786,69.5,321=,27.8,,,,,"22,836",376,"1,863",92%,8%
620,618,701-710,Dongguk University,Republic of Korea,Asia,L,FC,HI,Private not for Profit,12.8,701+,18.0,701+,76.3,189,29.9,589,22.9,676,52.3,395,56.8,360,36.2,801+,6.7,801+,56.5,571=,27.7,,,,,"15,602","2,289","2,388",93%,7%
621,618,711-720,Saint Joseph University of Beirut (USJ),Lebanon,Asia,M,FC,HI,Private not for Profit,13.4,701+,38.2,366,62.3,285,4.2,801+,94.3,186,40.7,485,46.1,453,30.2,801+,40.8,431,35.0,801+,27.7,,,,,"8,556",,"1,014",64%,36%
622,618,511,Zhengzhou University,China (Mainland),Asia,XL,FC,VH,Public,7.1,701+,23.8,564,7.0,801+,82.7,137,,,4.1,801+,3.3,801+,62.3,661,11.4,801+,42.3,801+,27.7,,,,,"69,798","1,887","3,473",%,%
623,622,559,Umm Al-Qura University,Saudi Arabia,Asia,XL,FC,HI,Public,23.6,537,15.4,701+,61.3,291,4.9,801+,100.0,95,26.1,643,19.6,770,71.3,510,11.5,801+,36.8,801+,27.6,,,,,"30,207",,"3,627",50%,50%
625,624,721-730,Diponegoro University,Indonesia,Asia,XL,FC,HI,Public,30.0,405,53.2,229,30.5,622,2.3,801+,46.4,461,7.1,801+,12.0,801+,35.5,801+,24.2,655,51.0,680=,27.5,,,,,"36,019","1,314","3,945",85%,15%
626,624,641-650,Oregon State University,United States of America,Americas,L,CO,VH,Public,19.7,626,11.9,701+,20.4,801+,44.4,423,17.3,761,11.9,801+,9.1,801+,80.3,350,28.8,579,64.1,420=,27.5,,,,,"26,890","2,156","2,050",92%,8%
628,624,413,Yeshiva University,United States of America,Americas,M,FC,MD,Private not for Profit,3.8,701+,4.6,701+,62.7,282,72.8,191,36.4,527,27.7,618,30.0,615,15.3,801+,4.9,801+,36.4,801+,27.5,,,,,"4,821",525,572,84%,16%
629,628,621-630,Istanbul University,Türkiye,Asia,XL,FC,HI,Public,33.3,368,43.0,313,4.5,801+,5.1,801+,7.0,801+,20.6,720,26.8,660,70.5,518,78.8,166,37.5,801+,27.4,,,,,"64,089","5,848","2,411",95%,5%
632,628,661-670,National Chung Hsing University,Taiwan,Asia,L,CO,VH,Public,28.6,436,30.9,463,29.4,642,22.5,677,12.3,801+,14.0,801+,19.0,781,34.5,801+,42.2,416,56.3,573=,27.4,,,,,"14,194","1,169","1,276",93%,7%
633,628,651-660,Universidade de Santiago de Compostela,Spain,Europe,L,CO,VH,Public,33.9,359,16.0,701+,17.5,801+,27.6,612,3.0,801+,11.8,801+,17.7,801+,77.3,399,20.0,728,62.4,450=,27.4,,,,,"24,238","1,492","1,708",98%,2%
634,628,601-610,University of Crete,Greece,Europe,L,FC,HI,Public,19.3,639,17.8,701+,3.9,801+,69.6,219,2.7,801+,7.2,801+,12.0,801+,61.9,664,4.5,801+,40.6,801+,27.4,,,,,"13,778",588,464,98%,2%
635,628,601-610,University of South Carolina,United States of America,Americas,L,FC,VH,Public,17.7,693,21.9,605,13.5,801+,37.1,502,54.6,414,5.9,801+,10.0,801+,68.0,568,28.0,593,68.9,331=,27.4,,,,,"31,216","1,200","1,908",75%,25%
640,638,576,Southern Cross University,Australia,Oceania,M,CO,VH,Public,6.0,701+,4.3,701+,3.9,801+,55.5,322,92.7,203,62.6,322,66.2,296,61.1,677,6.2,801+,65.9,385=,27.1,,,,,"8,292",,317,67%,33%
641,638,544,Universidad de Zaragoza,Spain,Europe,L,FC,VH,Public,29.7,413,9.9,701+,54.6,346,15.6,792,2.3,801+,10.2,801+,16.0,801+,89.2,185,14.8,801+,69.7,319,27.1,,,,,"27,798","2,391","3,377",96%,4%
642,638,570,"University of Chemistry and Technology, Prague",Czechia,Europe,S,FO,VH,Public,8.2,701+,12.2,701+,99.5,38,19.2,727,33.7,547,85.4,194,86.7,164,32.0,801+,9.4,801+,43.4,801+,27.1,,,,,"4,505","1,325",890,87%,13%
644,643,621-630,Abo Akademi University,Finland,Europe,M,CO,VH,Public,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,32.6,582,59.8,696,13.5,801+,45.2,801+,26.9,,,,,"6,489",945,502,80%,20%
645,643,631-640,Inha University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,17.5,699,19.9,659,74.7,198,23.8,661,17.7,752,25.7,650,29.4,622,28.1,801+,17.1,779,64.7,405=,26.9,,,,,"14,374","1,576","2,181",93%,7%
648,643,661-670,University of Manitoba,Canada,Americas,L,FC,VH,Public,19.2,643,20.0,657,31.8,604,22.6,675,,,68.4,287,71.5,257,70.0,532,39.5,442,55.7,582=,26.9,,,,,"26,856","6,249","2,492",%,%
649,648,761-770,King Faisal University,Saudi Arabia,Asia,L,FC,HI,Public,25.3,506,29.8,476,24.5,743,6.3,801+,99.4,121,11.0,801+,14.9,801+,66.0,609,14.9,801+,54.3,617=,26.8,,,,,"20,375",950,"2,228",57%,43%
651,650,567,MGIMO University,Russian Federation,Europe,M,CO,HI,Public,10.7,701+,38.7,359,100.0,18,1.7,801+,15.4,799,57.2,361,61.3,329,6.7,801+,69.8,212,21.7,801+,26.7,,,,,"7,416",,"1,891",92%,8%
652,650,601-610,Paris Lodron University of Salzburg,Austria,Europe,M,CO,VH,Public,13.3,701+,4.8,701+,38.7,524,11.6,801+,98.4,137,98.1,86,98.2,74,59.1,705,23.7,661,62.2,454=,26.7,,,,,"6,191","2,243","1,085",59%,41%
654,650,691-700,University of Brescia,Italy,Europe,M,FO,VH,Public,7.3,701+,4.1,701+,8.7,801+,85.0,124,2.0,801+,8.5,801+,14.2,801+,58.8,710,11.6,801+,63.9,425=,26.7,,,,,"11,589",791,691,98%,2%
655,654,681-690,China University of Mining and Technology,China (Mainland),Asia,L,FO,VH,Public,4.3,701+,6.4,701+,25.5,727,87.2,114,,,,,,,55.5,761,16.3,801+,39.2,801+,26.6,,,,,"14,530",720,"1,992",98%,2%
656,654,641-650,De La Salle University,Philippines,Asia,L,CO,HI,Private not for Profit,32.7,374,58.6,197,9.6,801+,6.8,801+,2.8,801+,3.5,801+,7.8,801+,27.3,801+,60.7,266,44.1,801+,26.6,,,,,"12,070",356,788,99%,1%
657,654,721-730,Konkuk University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,11.6,701+,12.8,701+,61.3,292,34.1,537,16.2,774,43.9,458,49.1,424,52.5,799,14.7,801+,61.8,460=,26.6,,,,,"12,472","KU rankings are as follows; QS World in 2019: #581-590 QS Asia in 2019: #94 QS Subjects in 2018: especially #151-200 in Agriculture & Forestry, #201-250 in Chemical Engineering","1,585",93%,7%
659,654,681-690,"University of Agriculture, Faisalabad",Pakistan,Asia,XL,CO,VH,Public,7.3,701+,14.6,701+,2.2,801+,83.4,133,2.6,801+,1.2,801+,5.6,801+,75.3,436,3.1,801+,48.4,746=,26.6,,,,,"31,851",73,753,98%,2%
661,660,671-680,Bar-Ilan University,Israel,Asia,L,FC,VH,Public,11.0,701+,14.3,701+,10.4,801+,59.4,293,54.4,416,4.9,801+,3.9,801+,53.2,792,33.1,511,41.7,801+,26.5,,,,,"16,809",540,987,80%,20%
662,660,601-610,Ca' Foscari University of Venice,Italy,Europe,M,CO,VH,Public,27.1,462,21.7,609,10.1,801+,20.7,703,44.0,471,18.6,749,24.7,688,68.2,564,20.0,729,74.0,259=,26.5,,,,,"12,679","The university's teaching and research are carried out by 7 departments and the Venice School of Management, an EQUIS-accredited business school, which offer degree programs in the following fields:",860,81%,19%
664,660,661-670,Memorial University of Newfoundland,Canada,Americas,L,FC,VH,Public,10.7,701+,10.5,701+,15.7,801+,43.7,431,30.7,581,78.5,230,80.6,200,73.6,479,17.4,773,53.3,636=,26.5,,,,,"16,374","4,817","1,076",87%,13%
665,664,711-720,COMSATS University Islamabad,Pakistan,Asia,XL,CO,VH,Public,17.0,701+,35.8,403,17.0,801+,36.8,506,1.4,801+,1.6,801+,6.0,801+,87.3,212,8.3,801+,62.7,444=,26.4,,,,,"33,744",332,"2,444",99%,1%
666,664,681-690,Indian Institute of Technology Hyderabad (IITH),India,Asia,S,CO,VH,Public,10.3,701+,15.0,701+,20.2,801+,84.0,130,1.3,801+,1.9,801+,6.2,801+,18.0,801+,6.5,801+,42.3,801+,26.4,,,,,"3,773",44,303,100%,
667,664,711-720,University of Mumbai,India,Asia,M,FC,VH,Public,11.3,701+,31.5,454,4.7,801+,53.7,348,3.0,801+,4.3,801+,8.5,801+,27.6,801+,91.0,95,41.3,801+,26.4,,,,,"7,892",167,455,99%,1%
668,664,701-710,University of Oklahoma,United States of America,Americas,L,FC,VH,Public,14.3,701+,18.6,695,19.8,801+,41.5,455,27.8,611,9.8,801+,7.5,801+,72.3,494,35.2,488,60.5,497=,26.4,,,,,"24,412","1,550","1,861",89%,11%
670,668,631-640,Chang Gung University,Taiwan,Asia,M,FO,VH,Private not for Profit,9.3,701+,6.6,701+,74.6,200,58.2,298,7.9,801+,9.5,801+,13.2,801+,25.5,801+,2.1,801+,48.8,734=,26.3,,,,,"7,012",369,964,96%,4%
672,668,641-650,Lehigh University,United States of America,Americas,M,CO,VH,Private not for Profit,7.2,701+,12.4,701+,30.5,625,37.1,501,68.9,339,40.0,490,45.4,459,44.9,801+,45.4,385,61.5,467=,26.3,,,,,"6,933",,615,73%,27%
674,673,641-650,East China University of Science and Technology,China (Mainland),Asia,XL,CO,VH,Public,9.1,701+,10.3,701+,15.4,801+,82.5,140,3.3,801+,2.5,801+,2.1,801+,43.5,801+,12.5,801+,40.2,801+,26.2,,,,,"30,184",502,"2,092",98%,2%
675,673,701-710,Stevens Institute of Technology,United States of America,Americas,M,FO,VH,Private not for Profit,4.0,701+,10.0,701+,8.4,801+,60.9,282,54.1,418,98.7,79,98.2,73,21.7,801+,13.5,801+,46.7,799=,26.2,,,,,"8,013","3,465",379,78%,22%
678,676,721-730,Jadavpur University,India,Asia,M,FO,VH,Public,23.2,544,10.5,701+,13.7,801+,55.8,319,,,1.1,801+,5.5,801+,44.0,801+,19.5,733,61.4,470,26.1,,,,,"11,500",9,745,%,%
679,678,621-630,American University in Dubai,United Arab Emirates,Asia,S,FO,HI,Private for Profit,14.4,701+,38.3,364,26.2,714,3.8,801+,100.0,2,100.0,11,100.0,6,4.3,801+,45.6,383,25.4,801+,26,,,,,"1,739","1,436",213,1%,99%
680,678,671-680,University of Haifa,Israel,Asia,L,CO,VH,Public,17.4,701+,13.0,701+,15.8,801+,44.8,417,17.8,751,6.7,801+,5.2,801+,69.6,539,29.6,554,67.4,360,26,,,,,"17,353",749,927,91%,9%
681,680,651-660,HUFS - Hankuk (Korea) University of Foreign Studies,Republic of Korea,Asia,L,CO,HI,Private not for Profit,17.6,696,25.5,531,85.2,133,2.5,801+,40.1,498,70.5,275,73.3,246,14.1,801+,3.6,801+,51.5,673=,25.9,,,,,"15,537","3,288","2,322",84%,16%
682,680,761-770,Nanjing University of Aeronautics and Astronautics,China (Mainland),Asia,L,FO,VH,Public,6.3,701+,10.9,701+,26.4,707,79.7,158,7.2,801+,8.8,801+,6.8,801+,46.2,801+,1.3,801+,37.0,801+,25.9,,,,,"30,178","1,076","2,129",95%,5%
683,680,641-650,Ritsumeikan University,Japan,Asia,XL,CO,HI,Private not for Profit,25.7,493,61.5,187,10.3,801+,5.0,801+,36.5,525,17.8,766,23.9,704,41.1,801+,4.8,801+,64.4,413=,25.9,,,,,"35,919","3,204","2,141",85%,15%
685,684,661-670,Comenius University Bratislava,Slovakia,Europe,L,FC,HI,Public,16.8,701+,14.7,701+,61.3,293,6.9,801+,8.4,801+,39.0,504,44.5,469,68.8,549,87.0,126,43.7,801+,25.8,,,,,"20,555",,"2,494",97%,3%
686,684,711-720,Ton Duc Thang University,Viet Nam,Asia,L,CO,VH,Public,6.1,701+,13.3,701+,8.6,801+,74.8,180,7.7,801+,2.0,801+,6.3,801+,88.1,200,6.8,801+,43.9,801+,25.8,,,,,"24,374","• Entrance Requirements: Master’s applicants must prepare the following documents: ✓ Application form (apply online) ✓ Up-to-date CV ✓ Original copy of bachelor's transcript in a relevant applied major ✓ Original copy of bachelor's certificate in a relevant applied major ✓ Statement of purpose (500 words) ✓ English Language Proficiency for Master programs taught in English: TOEIC 600, TOEFL iBT 50, IELTS 5.5, PET/FCE 160 (English certificates must be","1,241",94%,6%
688,686,,Cyprus University of Technology,Cyprus,Asia,S,CO,VH,Public,8.1,701+,4.9,701+,49.3,389,39.8,472,68.1,343,42.0,474,43.4,478,46.6,801+,11.3,801+,49.6,711=,25.7,,,,,"3,047",390,286,76%,24%
689,688,951-1000,Baku State University,Azerbaijan,Asia,L,CO,HI,Public,22.0,566,20.1,654,94.0,85,1.9,801+,13.4,801+,7.0,801+,11.2,801+,22.1,801+,64.1,243,43.3,801+,25.6,,,,,"22,067",542,"3,342",95%,5%
692,691,611-620,Eastern Mediterranean University,Northern Cyprus,Asia,L,FC,HI,Public,9.2,701+,4.5,701+,5.6,801+,31.3,571,77.1,311,100.0,19,100.0,13,51.3,801+,53.6,315,45.4,801+,25.4,,,,,"13,089","9,568",553,64%,36%
693,691,691-700,Universidade Federal do Rio Grande Do Sul,Brazil,Americas,XL,FC,VH,Public,36.8,327,9.2,701+,20.0,801+,15.7,788,3.8,801+,2.4,801+,7.0,801+,80.5,344,32.3,525,63.9,425=,25.4,,,,,"38,178",528,"3,256",98%,2%
694,691,741-750,Universität Regensburg,Germany,Europe,L,FO,VH,Public,16.0,701+,11.9,701+,77.3,181,13.3,801+,39.4,505,17.7,768,23.9,708,71.0,512,27.7,600,38.7,801+,25.4,,,,,"20,504",,"3,252",%,%
695,691,791-800,"Vellore Institute of Technology (VIT), Vellore, India",India,Asia,XL,CO,VH,Private not for Profit,20.5,601,26.0,519,11.6,801+,34.3,531,5.0,801+,5.3,801+,10.1,801+,81.2,327,15.8,801+,65.2,393=,25.4,,,,,"42,403",,"2,766",96%,4%
696,695,601-610,Rensselaer Polytechnic Institute,United States of America,Americas,M,CO,VH,Private not for Profit,10.2,701+,17.9,701+,28.7,662,54.7,330,,,34.4,547,25.7,675,25.8,801+,41.3,423,38.7,801+,25.3,,,,,"6,901","1,133",569,90%,10%
697,696,641-650,Symbiosis International (Deemed University),India,Asia,L,CO,VH,Private not for Profit,9.2,701+,94.7,51,26.5,704,3.3,801+,23.3,673,16.1,796,20.4,757,29.4,801+,8.9,801+,45.6,801+,25.2,,,,,"22,904",,"1,892",89%,11%
698,=696,,TUHH Hamburg University of Technology,Germany,Europe,M,SP,VH,,11.2,701+,14.6,701+,84.8,136,10.0,801+,35.7,533,93.4,139,93.9,115,47.8,801+,1.4,801+,30.0,801+,25.2,,,,,,,,,
699,697,801-850,Ankara Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,30.6,400,30.4,468,12.8,801+,4.6,801+,2.8,801+,9.7,801+,15.4,801+,74.0,466,61.2,262,61.0,480=,25.1,,,,,"67,417",Read less,"4,028",98%,2%
700,697,701-710,Beijing University of Chemical Technology,China (Mainland),Asia,L,CO,VH,Public,6.1,701+,7.2,701+,28.6,668,81.5,149,3.2,801+,2.5,801+,7.1,801+,36.6,801+,2.8,801+,40.5,801+,25.1,,,,,"25,053",407,"2,616",98%,2%
704,697,611-620,University of Klagenfurt,Austria,Europe,S,CO,VH,Public,7.2,701+,5.8,701+,57.4,318,16.4,777,98.2,138,94.8,127,95.2,108,43.9,801+,13.6,801+,36.3,801+,25.1,,,,,"3,377","1,119",389,59%,41%
705,697,641-650,"University of Missouri, Columbia",United States of America,Americas,L,FC,VH,Public,17.2,701+,15.7,701+,38.5,526,23.5,664,29.7,588,6.4,801+,5.0,801+,71.8,503,48.0,361,50.9,684=,25.1,,,,,"25,661","1,025","2,736",76%,24%
707,701-710,781-790,Kasetsart University,Thailand,Asia,XL,CO,VH,Public,37.4,320,37.1,383,10.3,801+,4.6,801+,7.7,801+,1.7,801+,6.2,801+,46.2,801+,31.2,534,60.8,491=,-,,,,,"69,770",446,"3,875",96%,4%
708,701-710,711-720,"Lingnan University, Hong Kong","Hong Kong SAR, China",Asia,S,CO,VH,Public,16.0,701+,12.5,701+,19.3,801+,22.3,681,100.0,38,99.6,55,93.1,126,10.6,801+,5.0,801+,47.0,789=,-,,,,,"5,388",,395,29%,71%
709,701-710,565,Nanjing University of Science and Technology,China (Mainland),Asia,L,FO,VH,Public,7.0,701+,8.5,701+,14.6,801+,86.1,117,,,,,,,38.2,801+,6.4,801+,39.4,801+,-,,,,,"28,418",935,"1,710",94%,6%
710,701-710,691-700,Shiraz University,Iran (Islamic Republic of),Asia,L,CO,VH,Public,10.2,701+,10.9,701+,6.0,801+,68.3,228,1.2,801+,4.3,801+,8.0,801+,68.1,565,23.4,664,45.7,801+,-,,,,,"15,155",379,731,100%,
711,701-710,691-700,Universidad Panamericana (UP),Mexico,Americas,L,FO,HI,Private not for Profit,15.9,701+,34.4,419,81.2,162,1.7,801+,24.5,655,5.0,801+,4.0,801+,14.3,801+,73.5,191,36.2,801+,-,,,,,"15,032",,"2,134",88%,12%
712,701-710,741-750,University of Central Florida,United States of America,Americas,XL,FC,VH,Public,18.6,659,37.1,384,4.1,801+,33.0,553,13.2,801+,7.7,801+,6.0,801+,73.7,475,17.4,775,45.9,801+,-,,,,,"53,354","2,699","2,042",93%,7%
713,701-710,651-660,University of Zagreb,Croatia,Europe,XL,FC,VH,Public,23.2,545,12.8,701+,26.8,700,8.1,801+,1.9,801+,5.1,801+,10.0,801+,92.1,145,98.4,34,60.9,486=,-,,,,,"59,109","2,340","5,204",99%,1%
714,711-720,801-850,Asia University Taiwan,Taiwan,Asia,M,CO,VH,Private for Profit,9.0,701+,2.8,701+,5.1,801+,79.9,156,14.5,801+,6.0,801+,10.2,801+,64.2,633,2.1,801+,36.6,801+,-,,,,,"11,466",448,494,93%,7%
715,711-720,721-730,Budapest University of Technology and Economics,Hungary,Europe,L,FO,VH,Public,20.8,595,37.5,375,18.6,801+,15.3,800,4.6,801+,22.7,691,28.8,629,60.0,691,37.8,460,57.9,545,-,,,,,"18,034",,"1,317",98%,2%
716,711-720,721-730,Drexel University,United States of America,Americas,L,FC,VH,Private not for Profit,8.9,701+,11.2,701+,30.2,630,36.9,503,31.3,572,37.4,521,43.0,483,68.8,552,35.3,487,48.7,737=,-,,,,,"18,955","2,781","1,633",91%,9%
717,711-720,681-690,"Goldsmiths, University of London",United Kingdom,Europe,M,FO,VH,Public,18.3,668,7.5,701+,20.8,801+,17.0,765,89.1,230,97.8,93,97.9,82,22.7,801+,25.2,637,43.0,801+,-,,,,,"9,038","3,175",644,69%,31%
719,711-720,595,ITMO University,Russian Federation,Europe,L,FO,VH,Public,12.7,701+,17.4,701+,92.6,89,11.0,801+,27.2,621,44.5,453,49.7,418,60.1,689,3.9,801+,26.6,801+,-,,,,,"11,007","2,003","1,987",88%,12%
720,711-720,751-760,Technische Universität Braunschweig,Germany,Europe,L,CO,VH,Public,14.4,701+,21.9,604,69.9,232,9.7,801+,,,50.9,405,38.0,515,66.1,608,19.3,738,47.4,776=,-,,,,,"19,837","2,940","2,398",%,%
721,711-720,801-850,Toronto Metropolitan University (formerly Ryerson University),Canada,Americas,XL,CO,VH,Public,12.5,701+,19.4,673,2.3,801+,41.0,459,46.5,458,19.6,736,25.7,676,60.9,679,20.1,723,66.0,381=,-,,,,,"37,105","3,733",988,83%,17%
723,711-720,721-730,Université de Rennes 1,France,Europe,L,FO,VH,Public,21.3,581,11.0,701+,15.6,801+,36.7,510,15.9,781,19.0,745,14.4,801+,86.9,218,9.8,801+,49.4,719=,-,,,,,"25,635","2,919","1,765",91%,9%
724,711-720,701-710,University of Nebraska - Lincoln,United States of America,Americas,L,CO,VH,Public,14.3,701+,11.5,701+,23.8,756,37.7,495,27.1,622,12.1,801+,18.1,794,79.6,359,17.5,771,63.8,427=,-,,,,,"22,319","1,652","1,846",88%,12%
727,721-730,691-700,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,Asia,S,SP,HI,Public,7.4,701+,15.1,701+,62.8,281,66.0,241,,,,,,,19.0,801+,3.8,801+,10.4,801+,-,,,,,"1,518",2,167,%,%
728,721-730,,Prince Sattam Bin Abdulaziz University,Saudi Arabia,Asia,L,FO,VH,Public,6.4,701+,3.1,701+,69.3,237,19.6,720,99.6,109,15.5,801+,18.4,789,93.6,109,3.0,801+,36.3,801+,-,,,,,"26,738",527,"2,256",55%,45%
729,721-730,701-710,Taras Shevchenko National University of Kyiv,Ukraine,Europe,L,CO,VH,Public,21.9,567,50.1,254,30.7,619,3.9,801+,1.7,801+,3.7,801+,8.2,801+,37.6,801+,72.0,200,37.9,801+,-,,,,,"26,139","1,226","2,286",99%,1%
730,721-730,681-690,Temple University,United States of America,Americas,L,FC,VH,Public,16.8,701+,15.0,701+,37.9,534,24.6,647,4.4,801+,11.6,801+,17.5,801+,64.7,625,38.7,447,72.1,291=,-,,,,,"27,243",,"2,620",98%,2%
731,721-730,761-770,University of Cincinnati,United States of America,Americas,XL,FC,VH,Public,15.1,701+,12.3,701+,24.8,738,31.9,564,6.2,801+,23.7,680,17.8,801+,66.9,589,47.9,362,63.2,436=,-,,,,,"34,509","3,582","2,833",96%,4%
732,721-730,761-770,University of Patras,Greece,Europe,L,FC,VH,Public,16.8,701+,25.7,527,4.2,801+,44.3,425,2.3,801+,9.2,801+,14.3,801+,66.2,606,4.7,801+,65.3,392,-,,,,,"28,311","1,563","1,038",99%,1%
733,721-730,741-750,UWE Bristol (University of the West of England),United Kingdom,Europe,XL,CO,HI,Public,10.6,701+,15.1,701+,8.9,801+,25.2,633,66.1,354,88.9,176,89.9,150,72.4,493,4.2,801+,53.3,636=,-,,,,,"30,124",,"1,769",80%,20%
735,731-740,631-640,Far Eastern Federal University,Russian Federation,Europe,L,CO,HI,Public,13.9,701+,9.5,701+,98.7,47,2.6,801+,16.7,769,79.3,226,80.5,204,48.0,801+,7.1,801+,37.5,801+,-,,,,,"13,699","Far Eastern FederalUniversity is not only a pathway to a professional future but also a road tothe future of the entire country, where all motivated, hardworking and talentedyoung people will find their rightful places.","2,805",92%,8%
737,731-740,681-690,Princess Nourah bint Abdulrahman University,Saudi Arabia,Asia,L,CO,VH,Public,18.3,666,24.1,561,28.7,664,7.2,801+,83.8,264,31.3,575,35.9,537,74.6,452,2.8,801+,49.8,706=,-,,,,,"21,715","4,079","1,769",61%,39%
739,731-740,661-670,"Sofia University ""St. Kliment Ohridski""",Bulgaria,Europe,L,CO,VH,Public,16.0,701+,25.2,537,55.0,342,3.1,801+,4.0,801+,15.6,801+,21.1,748,55.7,755,88.6,117,49.4,719=,-,,,,,"18,784","1,558","2,087",98%,2%
740,731-740,781-790,Texas Tech University,United States of America,Americas,XL,FC,HI,Public,14.5,701+,26.9,509,10.0,801+,18.8,739,63.8,364,17.4,777,23.5,714,70.6,517,28.1,591,66.1,376=,-,,,,,"34,775","3,104","1,948",75%,25%
743,731-740,851-900,Yildiz Technical University,Türkiye,Asia,L,CO,VH,Public,13.4,701+,43.2,310,5.6,801+,26.0,624,9.5,801+,27.8,617,33.8,566,55.4,763,26.7,613,63.7,429=,-,,,,,"20,988","2,701",776,93%,7%
746,741-750,721-730,Brandeis University,United States of America,Americas,M,CO,VH,Private not for Profit,12.8,701+,9.7,701+,50.2,381,25.0,638,33.0,554,83.4,201,62.1,322,24.7,801+,30.5,544,28.8,801+,-,,,,,"5,290","1,500",627,89%,11%
